                         L ^1 Sigma_g ^+      L  0  1  +  g    (114520)    [(1835)]           .           .     [(9.7)]           .           .           .           .    [(1.86)]
               H ^1 Sigma_g ^+  3s-sigma      H  0  1  +  g      113899        2538         124           .    [(29.5)]           .           .           .           .   [(1.065)]
                        D ^1 Pi_u  3p-pi      D  1  1  .  u    113888.7     2359.91      68.816           .      30.296        1.42           .      0.0201           .      1.0508
                  J ^1 Delta_g  3d-delta      J  2  1  .  g    (113550)     2341.15       63.23           .      30.081       1.718           .      0.0189           .      1.0546
                        I ^1 Pi_g  3d-pi      I  1  1  .  g    (113142)     2259.15       78.41           .      29.259       1.584           .      0.0180           .      1.0693
               G ^1 Sigma_g ^+  3d-sigma      G  0  1  +  g      112834      2343.9        55.9           .    [(28.4)]           .           .           .           .   [(1.085)]
                       K (^1 Sigma_g ^+)      K  0  1  +  g    (112669)   [2232.59]          30           .      [10.8]           .           .           .           .      [1.76]
                             Q (^1 Pi_g)      Q  1  1  .  g    (113163)       [742]           .           .    [(16.3)]           .           .           .           .        1.43
              B' ^1 Sigma_u ^+  3p-sigma     B'  0  1  +  u    111642.8     2039.52      83.406           .      26.705       2.781           .     [0.012]           .      1.1192
             F ^1 Sigma_g ^+  2p-sigma^2      F  0  1  +  g      100911      [1199]           .           .           .           .           .           .           .           .
               E ^1 Sigma_g ^+  2s-sigma      E  0  1  +  g    100082.3      2588.9       130.5           .       32.68       1.818           .    [0.0228]           .      1.0118
                        C ^1 Pi_u  2p-pi      C  1  1  .  u    100089.8     2443.77      69.524           .     31.3629      1.6647           .      0.0223    -0.00074     1.03279
               B ^1 Sigma_u ^+  2p-sigma      B  0  1  +  u     91700.0     1358.09      20.888           .     20.0154      1.1845           .     0.01625           .     1.29282
             X ^1 Sigma_g ^+  1s-sigma^2      X  0  1  +  g           0    4401.213     121.336           .     60.8530      3.0622           .      0.0471           .     0.74144
