lim      
55010.
J      E 
 6  | 39198.320  
    |            
 2  | 39265.80   
    |            
 2  | 39526.89   
 3  | 39640.98   
 4  | 39785.94   
    |            
 1  | 39662.15   
 2  | 39686.10   
 3  | 39715.437  
    |            
 3  | 40302.950  
    |            
 6  | 40319.80   
    |            
 0  | 40369.76   
 2  | 40466.979  
    |            
 1  | 40384.58   
    |            
 1  | 40556.07   
 2  | 40670.60   
 3  | 40844.19   
    |            
 1  | 40844.19   
    |            
 5  | 41039.874  
    |            
 3  | 41087.31   
    |            
 3  | 41170.003  
 4  | 41255.400  
 5  | 41341.553  
    |            
 3  | 41194.42   
 4  | 41368.86   
 5  | 41481.13   
    |            
 2  | 41337.43   
 3  | 41457.653  
 4  | 41624.209  
    |            
 4  | 41515.09   
 5  | 41556.33   
 6  | 41615.02   
    |            
 3  | 41585.24   
    |            
 2  | 41714.35   
 3  | 41757.47   
 4  | 41818.70   
 5  | 41903.48   
 6  | 42019.22   
    |            
 4  | 41780.95   
    |            
 0  | 41822.99   
 1  | 41854.01   
 2  | 41906.51   
 3  | 41985.83   
 4  | 42092.42   
    |            
 3  | 41823.19   
 4  | 41917.05   
 5  | 42018.01   
 6  | 42123.77   
 7  | 42205.59   
    |            
 0  | 41871.56   
 1  | 41901.36   
 2  | 41958.51   
 3  | 42052.72   
 4  | 42184.66   
    |            
 2  | 41871.87   
 3  | 41988.39   
 4  | 42107.06   
    |            
 5  | 41895.15   
 6  | 41995.39   
    |            
 2  | 41928.528  
 1  | 41943.95   
 0  | 41959.46   
    |            
 1  | 42146.39   
 2  | 42206.88   
 3  | 42311.269  
    |            
 1  | 42194.04   
 2  | 42269.78   
 3  | 42376.45   
    |            
 1  | 42611.58   
 2  | 42724.11   
 3  | 42858.90   
    |            
 1  | 42927.55   
    |            
 1  | 43034.08   
 2  | 43080.92   
 3  | 43148.15   
 4  | 43231.99   
 5  | 43330.07   
    |            
 2  | 43467.55   
 3  | 43583.14   
 4  | 43744.55   
    |            
 4  | 43674.130  
    |            
 2  | 43710.28   
    |            
 2  | 43799.455  
    |            
 3  | 43843.82   
 4  | 43901.630  
 5  | 43971.513  
 6  | 44051.333  
 7  | 44134.639  
    |            
 1  | 43975.71   
 2  | 44079.84   
 3  | 44233.65   
    |            
 4  | 44162.44   
 5  | 44375.57   
    |            
 5  | 44163.24   
    |            
 3  | 44254.39   
 4  | 44381.17   
    |            
 2  | 44581.16   
    |            
 2  | 44824.13   
 3  | 44922.73   
 4  | 45040.81   
    |            
 1  | 44858.03   
    |            
 1  | 44966.39   
 2  | 45063.80   
 3  | 45206.27   
    |            
 0  | 45040.70   
 1  | 45090.73   
 2  | 45178.06   
    |            
 5  | 45485.35   
    |            
 3  | 45689.89   
 4  | 45711.28   
 5  | 45756.45?  
 6  | 45904.73   
    |            
 4  | 45721.878  
 5  | 45832.50   
 6  | 45960.439  
    |            
 1  | 45764.71   
 2  | 45813.01   
 3  | 45893.26   
 4  | 46007.62   
 5  | 46157.76   
    |            
 4  | 46068.04   
    |            
 2  | 46244.60   
    |            
 4  | 46257.67   
    |            
 4  | 46530.45   
    |            
 3  | 46650.26   
    |            
 3  | 46725.42   
 4  | 46838.09   
 5  | 46974.65   
    |            
 2  | 46943.91   
 3  | 47030.28   
 4  | 47139.86   
 5  | 47280.69   
 6  | 47446.84   
    |            
 3  | 47038.16   
 4  | 47194.68   
    |            
 2  | 47187.54   
 3  | 47281.90   
 4  | 47463.06   
    |            
 5  | 47777.32   
    |            
 3  | 47840.62   
 4  | 47913.61   
 5  | 47994.32   
 6  | 48106.83   
 7  | 48262.83   
    |            
 2  | 47870.61   
 3  | 47936.79   
 4  | 48018.08   
 5  | 48119.47   
 6  | 48233.47   
    |            
 1  | 48058.85   
 2  | 48107.42   
 3  | 48208.87   
 4  | 48328.81   
 5  | 48462.11   
    |            
 3  | 48059.82   
 4  | 48186.11   
    |            
 3  | 48365.09   
    |            
 2  | 48519.21   
 3  | 48588.28   
 4  | 48672.66   
 5  | 48771.73   
    |            
 2  | 48724.34   
 1  | 48724.83   
 3  | 48839.74   
    |            
 0  | 48802.32   
 1  | 48859.51   
 2  | 48915.07   
 3  | 49024.43   
 4  | 49036.46   
    |            
 2  | 49571.69   
 3  | 49619.72   
    |            
 2  | 50128.08   
    |            
 4  | 52125.98   
    |            
